dir,name,Machinery & mechanical appliances,Vehicles,Electrical machinery & equipment,Other
Export,2009,2.565689,0.374296,2.54402,12.029766
Export,2010,4.891417,0.969401,4.436981,19.314275
Export,2011,7.231969,2.12376,5.329919,24.21737
Export,2012,8.506174,2.846412,5.941755,26.76221
Export,2013,8.034678,2.643511,6.818263,32.09472
Export,2014,7.889034,2.361065,7.893814,35.533031
Export,2015,5.235103,1.134152,5.136277,23.304374
Export,2016,7.769976,1.257886,5.451627,23.02657
Export,2017,8.695373,1.647158,7.441963,25.365289
Export,2018,8.912665,1.763342,9.333816,27.99538
Export,2019,9.306271,2.157423,9.472862,28.811931
Export,2020,10.183209,2.123472,10.703762,27.493949
Export,2021,14.703876,4.282544,14.094442,34.469193
Export,2022,16.880396,6.296266,13.331189,39.614798
Export,2023,25.257445,22.510086,17.096863,46.192822
Export,2024,27.320032,25.486394,15.964773,46.731873
Export,2025,12.827931188,5.036378919,6.635147894,22.660952748
