dir,name,Machinery & mechanical appliances,Vehicles,Electrical machinery & equipment,Other,Mineral fuels & oil,Raw metals,Copper & articles thereof,Aluminium & articles thereof,Wood & articles of wood; charcoal
Export,2009,2.565689,0.374296,2.54402,12.029766,0,0,0,0,0
Export,2010,4.891417,0.969401,4.436981,19.314275,0,0,0,0,0
Export,2011,7.231969,2.12376,5.329919,24.21737,0,0,0,0,0
Export,2012,8.506174,2.846412,5.941755,26.76221,0,0,0,0,0
Export,2013,8.034678,2.643511,6.818263,32.09472,0,0,0,0,0
Export,2014,7.889034,2.361065,7.893814,35.533031,0,0,0,0,0
Export,2015,5.235103,1.134152,5.136277,23.304374,0,0,0,0,0
Export,2016,7.769976,1.257886,5.451627,23.02657,0,0,0,0,0
Export,2017,8.695373,1.647158,7.441963,25.365289,0,0,0,0,0
Export,2018,8.912665,1.763342,9.333816,27.99538,0,0,0,0,0
Export,2019,9.306271,2.157423,9.472862,28.811931,0,0,0,0,0
Export,2020,10.183209,2.123472,10.703762,27.493949,0,0,0,0,0
Export,2021,14.703876,4.282544,14.094442,34.469193,0,0,0,0,0
Export,2022,16.880396,6.296266,13.331189,39.614798,0,0,0,0,0
Export,2023,25.257445,22.510086,17.096863,46.192822,0,0,0,0,0
Export,2024,27.320032,25.486394,15.964773,46.731873,0,0,0,0,0
Export,2025,12.827931188,5.036378919,6.635147894,22.660952748,0,0,0,0,0
Import,2009,0,0,0,7.58505,9.386241,1.059343,0.254251,0.6353,2.362767
Import,2010,0,0,0,8.454943,12.848398,1.214255,0.415827,0.222857,2.757714
Import,2011,0,0,0,10.07715,22.922651,3.348218,0.240437,0.286246,3.487898
Import,2012,0,0,0,8.455844,29.522428,2.474927,0.388777,0.387437,2.908866
Import,2013,0,0,0,7.434769,26.880079,2.102158,0.178966,0.244996,2.82686
Import,2014,0,0,0,7.177577,29.719175,1.205244,0.174179,0.154993,3.162337
Import,2015,0,0,0,8.266276,20.222797,0.906234,0.647748,0.047617,3.12594
Import,2016,0,0,0,8.152997,18.914638,0.88188,0.447295,0.053369,3.680961
Import,2017,0,0,0,7.84398,27.282395,1.255853,0.427525,0.070306,4.471862
Import,2018,0,0,0,8.712645,42.112072,1.542583,1.659891,0.16778,4.692095
Import,2019,0,0,0,10.18538,42.755153,2.233209,1.651919,0.085234,4.279737
Import,2020,0,0,0,13.07387,33.224576,3.525425,2.798791,0.78267,3.709335
Import,2021,0,0,0,12.722948,52.377137,4.263146,3.913717,0.811632,4.053764
Import,2022,0,0,0,17.2136,85.378138,3.640316,2.944393,1.374888,3.597636
Import,2023,0,0,0,20.811151,94.035767,4.405595,3.214646,2.866654,3.150922
Import,2024,0,0,0,19.034077,94.823797,5.467078,3.000931,3.579939,3.164821
Import,2025,0,0,0,9.422658422,38.96671698,3.665387014,2.666388536,3.101757591,1.505323399
