name,value
2000,3027.604166666667
2001,2117.104166666667
2002,2531.479166666667
2003,2110.4375
2004,3177.3958333333335
2005,2245.0208333333335
2006,2456.354166666667
2007,1459.9779761904763
2008,1410.1
2009,1092.8333333333333
2010,706
2011,731.4821428571429
2012,601.1170634920635
2013,568.4265873015872
2014,516.7599206349206
2015,673.2349206349206
2016,1077.00873015873
2017,1046.1140873015875
2018,1586.8482142857144
2019,1017.1577380952381
2020,499.3244047619047
2021,416.0992063492064
2022,418.765873015873
2023,305.1825396825397
2024,206.57142857142858
